No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
646,WISEA J124016.97+512159.5,12h40m16.9700s,+51d21m59.561s,190.0707087,51.3665448,G,35366.816062718,0.117971,SLS,1,0,31,7,4,4,0,0,0,0
647,WISEA J130512.92+513916.9,13h05m12.9290s,+51d39m16.931s,196.3038711,51.6547031,G,36507.22657295,0.121775,SLS,1,0,31,4,1,4,0,0,0,0
648,WISEA J131700.20+505232.4,13h17m00.0954s,+50d52m32.606s,199.2503978606,50.8757240017,G,33050.919324668,0.110246,SLS,1,0,31,4,1,4,0,0,0,0
649,WISEA J120901.26+515811.4,12h09m01.2633s,+51d58m11.478s,182.255264,51.969855,G,18450.8707279898,0.06154548,SLS,13,0,52,6,4,8,0,0,0,1
650,2MASX J13132468+5123120,13h13m24.6758s,+51d23m12.120s,198.352816,51.3867,G,37245.5404488895,0.12423775,SLS,14,0,54,7,4,10,0,0,1,1
651,ZTF20aatpoos,12h26m02.8715s,+55d42m08.648s,186.5119648,55.7024024,G,9985.936879751,0.0333095,SLS,2,0,31,8,5,4,0,0,0,0
652,WISEA J120040.24+510957.3,12h00m40.2419s,+51d09m57.357s,180.1676746,51.1659326,G,37370.928644448,0.124656,SLS,1,0,41,4,1,6,0,0,1,0
653,WISEA J122243.53+553700.7,12h22m43.5319s,+55d37m00.755s,185.6813829,55.6168766,G,24214.593585685,0.08077119,SLS,9,0,36,7,5,4,0,0,0,1
654,WISEA J132652.64+514207.7,13h26m52.6486s,+51d42m07.748s,201.7193692,51.7021524,G,27004.405239266,0.090077,SLS,1,0,31,4,1,4,0,0,0,0
655,WISEA J132531.86+560021.1,13h25m31.8643s,+56d00m21.187s,201.3827683,56.0058854,G,11978.507451848,0.039956,SLS,1,0,27,4,2,4,0,0,0,0
656,2MASS J12093713+5528153,12h09m37.1717s,+55d28m15.430s,182.4048821347,55.470952901,G,0.0,0.0,SLS,1,0,11,3,1,4,0,0,0,0
